leto;ime;priimek;kategorija;spol;datum rojstva;drzava rojstva
1932;Werner;Heisenberg;physics;male;05-12-1901;DE
1932;John;Galsworthy;literature;male;1867-08-14;GB
1932;Irving;Langmuir;chemistry;male;1881-01-31;US
1933;Paul A.M.;Dirac;physics;male;08-08-1902;GB
1933;Erwin;Schrödinger;physics;male;1887-08-12;AT
1933;Sir Norman;Angell;peace;male;1872-12-26;GB
1933;Thomas H.;Morgan;medicine;male;1866-09-25;US
1933;Ivan;Bunin;literature;male;1870-10-22;RU
1934;George H.;Whipple;medicine;male;1878-08-28;US
1934;Harold C.;Urey;chemistry;male;1893-04-29;US
1934;Luigi;Pirandello;literature;male;1867-06-28;IT
1934;George R.;Minot;medicine;male;1885-12-02;US
1934;William P.;Murphy;medicine;male;1892-02-06;US
1934;Arthur;Henderson;peace;male;1863-09-13;GB
1935;Frédéric;Joliot;chemistry;male;19-03-1900;FR
1935;Irène;Joliot-Curie;chemistry;female;1897-09-12;FR
1935;James;Chadwick;physics;male;1891-10-20;GB
1935;Hans;Spemann;medicine;male;1869-06-27;DE
1935;Carl;von Ossietzky;peace;male;1889-10-03;DE
1936;Peter;Debye;chemistry;male;1884-03-24;NL
1936;Otto;Loewi;medicine;male;1873-06-03;DE
1936;Victor F.;Hess;physics;male;1883-06-24;AT
1936;Sir Henry;Dale;medicine;male;1875-06-09;GB
1936;Carl D.;Anderson;physics;male;03-09-1905;US
1936;Carlos;Saavedra Lamas;peace;male;1878-11-01;AR
1936;Eugene;O'Neill;literature;male;1888-10-16;US
1937;George Paget;Thomson;physics;male;1892-05-03;GB
1937;Albert;Szent-Györgyi;medicine;male;1893-09-16;HU
1937;Norman;Haworth;chemistry;male;1883-03-19;GB
1937;Clinton;Davisson;physics;male;1881-10-22;US
1937;Robert;Cecil;peace;male;1864-09-14;GB
1937;Roger;Martin du Gard;literature;male;1881-03-23;FR
1937;Paul;Karrer;chemistry;male;1889-04-21;RU
1938;Enrico;Fermi;physics;male;29-09-1901;IT
1938;Richard;Kuhn;chemistry;male;03-12-1900;AT
1938;Corneille;Heymans;medicine;male;1892-03-28;BE
1938;Nansen International Office for Refugees;;peace;org;1921-00-00;
1938;Pearl;Buck;literature;female;1892-06-26;US
1939;Gerhard;Domagk;medicine;male;1895-10-30;PL
1939;Ernest;Lawrence;physics;male;08-08-1901;US
1939;Leopold;Ruzicka;chemistry;male;1887-09-13;HR
1939;Adolf;Butenandt;chemistry;male;24-03-1903;DE
1939;Frans Eemil;Sillanpää;literature;male;1888-09-16;FI
1943;Henrik;Dam;medicine;male;1895-02-21;DK
1943;Edward A.;Doisy;medicine;male;1893-11-13;US
1943;George;de Hevesy;chemistry;male;1885-08-01;HU
1943;Otto;Stern;physics;male;1888-02-17;PL
1944;Joseph;Erlanger;medicine;male;1874-01-05;US
1944;Johannes V.;Jensen;literature;male;1873-01-20;DK
1944;Herbert S.;Gasser;medicine;male;1888-07-05;US
1944;Otto;Hahn;chemistry;male;1879-03-08;DE
1944;International Committee of the Red Cross;;peace;org;1863-00-00;
1944;Isidor Isaac;Rabi;physics;male;1898-07-29;PL
1945;Wolfgang;Pauli;physics;male;25-04-1900;AT
1945;Gabriela;Mistral;literature;female;1889-04-07;CL
1945;Artturi;Virtanen;chemistry;male;1895-01-15;FI
1945;Cordell;Hull;peace;male;1871-10-02;US
1945;Sir Alexander;Fleming;medicine;male;1881-08-06;GB
1945;Ernst B.;Chain;medicine;male;19-06-1906;DE
1945;Sir Howard;Florey;medicine;male;1898-09-24;AU
1946;John R.;Mott;peace;male;1865-05-25;US
1946;Percy W.;Bridgman;physics;male;1882-04-21;US
1946;James B.;Sumner;chemistry;male;1887-11-19;US
1946;John H.;Northrop;chemistry;male;1891-07-05;US
1946;Wendell M.;Stanley;chemistry;male;16-08-1904;US
1946;Hermann J.;Muller;medicine;male;1890-12-21;US
1946;Emily Greene;Balch;peace;female;1867-01-08;US
1946;Hermann;Hesse;literature;male;1877-07-02;DE
1947;Gerty;Cori;medicine;female;1896-08-15;CZ
1947;Bernardo;Houssay;medicine;male;1887-04-10;AR
1947;Edward V.;Appleton;physics;male;1892-09-06;GB
1947;André;Gide;literature;male;1869-11-22;FR
1947;Sir Robert;Robinson;chemistry;male;1886-09-13;GB
1947;Friends Service Council;;peace;org;1647-00-00;
1947;American Friends Service Committee;;peace;org;1917-00-00;
1947;Carl;Cori;medicine;male;1896-12-05;CZ
1948;Paul;Müller;medicine;male;1899-01-12;CH
1948;T.S.;Eliot;literature;male;1888-09-26;US
1948;Arne;Tiselius;chemistry;male;10-08-1902;SE
1948;Patrick M.S.;Blackett;physics;male;1897-11-18;GB
1949;Egas;Moniz;medicine;male;1874-11-29;PT
1949;William F.;Giauque;chemistry;male;1895-05-12;CA
1949;Walter;Hess;medicine;male;1881-03-17;CH
1949;William;Faulkner;literature;male;1897-09-25;US
1949;John;Boyd Orr;peace;male;1880-09-23;GB
1949;Hideki;Yukawa;physics;male;23-01-1907;JP
1950;Bertrand;Russell;literature;male;1872-05-18;GB
1950;Ralph;Bunche;peace;male;07-08-1904;US
1950;Philip S.;Hench;medicine;male;1896-02-28;US
1950;Tadeus;Reichstein;medicine;male;1897-07-20;PL
1950;Edward C.;Kendall;medicine;male;1886-03-08;US
1950;Kurt;Alder;chemistry;male;10-07-1902;PL
1950;Cecil;Powell;physics;male;05-12-1903;GB
1950;Otto;Diels;chemistry;male;1876-01-23;DE
1951;Léon;Jouhaux;peace;male;1879-07-01;FR
1951;Pär;Lagerkvist;literature;male;1891-05-23;SE
1951;Ernest T.S.;Walton;physics;male;06-10-1903;IE
1951;John;Cockcroft;physics;male;1897-05-27;GB
1951;Edwin M.;McMillan;chemistry;male;18-09-1907;US
1951;Max;Theiler;medicine;male;1899-01-30;ZA
1951;Glenn T.;Seaborg;chemistry;male;19-04-1912;US
1952;Felix;Bloch;physics;male;23-10-1905;CH
1952;Richard L.M.;Synge;chemistry;male;28-10-1914;GB
1952;Albert;Schweitzer;peace;male;1875-01-14;FR
1952;Selman A.;Waksman;medicine;male;1888-07-22;UA
1952;Archer J.P.;Martin;chemistry;male;01-03-1910;GB
1952;E. M.;Purcell;physics;male;30-08-1912;US
1952;François;Mauriac;literature;male;1885-10-11;FR
1953;George C.;Marshall;peace;male;1880-12-31;US
1953;Hans;Krebs;medicine;male;25-08-1900;DE
1953;Fritz;Lipmann;medicine;male;1899-06-12;RU
1953;Frits;Zernike;physics;male;1888-07-16;NL
1953;Hermann;Staudinger;chemistry;male;1881-03-23;DE
1953;Winston;Churchill;literature;male;1874-11-30;GB
1954;John F.;Enders;medicine;male;1897-02-10;US
1954;Thomas H.;Weller;medicine;male;15-06-1915;US
1954;Frederick C.;Robbins;medicine;male;25-08-1916;US
1954;Linus;Pauling;chemistry;male;28-02-1901;US
1954;Max;Born;physics;male;1882-12-11;PL
1954;Walther;Bothe;physics;male;1891-01-08;DE
1954;Ernest;Hemingway;literature;male;1899-07-21;US
1954;Office of the United Nations High Commissioner for Refugees;;peace;org;14-12-1950;
1955;Halldór;Laxness;literature;male;23-04-1902;IS
1955;Polykarp;Kusch;physics;male;26-01-1911;DE
1955;Willis E.;Lamb;physics;male;12-07-1913;US
1955;Hugo;Theorell;medicine;male;06-07-1903;SE
1955;Vincent;du Vigneaud;chemistry;male;18-05-1901;US
1956;Werner;Forssmann;medicine;male;29-08-1904;DE
1956;André F.;Cournand;medicine;male;1895-09-24;FR
1956;Walter H.;Brattain;physics;male;10-02-1902;CN
1956;Nikolay;Semenov;chemistry;male;1896-04-03;RU
1956;Sir Cyril;Hinshelwood;chemistry;male;1897-05-19;GB
1956;John;Bardeen;physics;male;23-05-1908;US
1956;William B.;Shockley;physics;male;13-02-1910;GB
1956;Dickinson W.;Richards;medicine;male;1895-10-30;US
1956;Juan Ramón;Jiménez;literature;male;1881-12-24;ES
1957;Chen Ning;Yang;physics;male;22-09-1922;CN
1957;Lester Bowles;Pearson;peace;male;1897-04-23;CA
1957;Lord;Todd;chemistry;male;02-10-1907;GB
1957;Tsung-Dao;Lee;physics;male;24-11-1926;CN
1957;Albert;Camus;literature;male;07-11-1913;DZ
1957;Daniel;Bovet;medicine;male;23-03-1907;CH
1958;Frederick;Sanger;chemistry;male;13-08-1918;GB
1958;Georges;Pire;peace;male;10-02-1910;BE
1958;Edward;Tatum;medicine;male;14-12-1909;US
1958;Joshua;Lederberg;medicine;male;23-05-1925;US
1958;Boris;Pasternak;literature;male;1890-02-10;RU
1958;Il´ja M.;Frank;physics;male;23-10-1908;RU
1958;Igor Y.;Tamm;physics;male;1895-07-08;RU
1958;Pavel A.;Cherenkov;physics;male;28-07-1904;RU
1958;George;Beadle;medicine;male;22-10-1903;US
1959;Arthur;Kornberg;medicine;male;03-03-1918;US
1959;Jaroslav;Heyrovsky;chemistry;male;1890-12-20;CZ
1959;Owen;Chamberlain;physics;male;10-07-1920;US
1959;Emilio;Segrè;physics;male;01-02-1905;IT
1959;Severo;Ochoa;medicine;male;24-09-1905;ES
1959;Philip;Noel-Baker;peace;male;1889-11-01;GB
1959;Salvatore;Quasimodo;literature;male;20-08-1901;IT
1960;Peter;Medawar;medicine;male;28-02-1915;BR
1960;Donald A.;Glaser;physics;male;21-09-1926;US
1960;Sir Frank Macfarlane;Burnet;medicine;male;1899-09-03;AU
1960;Saint-John;Perse;literature;male;1887-05-31;GP
1960;Albert;Lutuli;peace;male;1898-00-00;ZW
1960;Willard F.;Libby;chemistry;male;17-12-1908;US
1961;Rudolf;Mössbauer;physics;male;31-01-1929;DE
1961;Dag;Hammarskjöld;peace;male;29-07-1905;SE
1961;Georg;von Békésy;medicine;male;1899-06-03;HU
1961;Ivo;Andric;literature;male;1892-10-10;BA
1961;Melvin;Calvin;chemistry;male;08-04-1911;US
1961;Robert;Hofstadter;physics;male;05-02-1915;US
1962;Maurice;Wilkins;medicine;male;15-12-1916;NZ
1962;James;Watson;medicine;male;06-04-1928;US
1962;Francis;Crick;medicine;male;08-06-1916;GB
1962;Linus;Pauling;peace;male;28-02-1901;US
1962;John C.;Kendrew;chemistry;male;24-03-1917;GB
1962;Max F.;Perutz;chemistry;male;19-05-1914;AT
1962;Lev;Landau;physics;male;22-01-1908;AZ
1962;John;Steinbeck;literature;male;27-02-1902;US
1963;Andrew;Huxley;medicine;male;22-11-1917;GB
1963;Alan;Hodgkin;medicine;male;05-02-1914;GB
1963;Sir John;Eccles;medicine;male;27-01-1903;AU
1963;J. Hans D.;Jensen;physics;male;25-06-1907;DE
1963;Eugene;Wigner;physics;male;17-11-1902;HU
1963;International Committee of the Red Cross;;peace;org;1863-00-00;
1963;League of Red Cross Societies;;peace;org;1919-00-00;
1963;Giorgos;Seferis;literature;male;13-03-1900;TR
1963;Maria;Goeppert Mayer;physics;female;28-06-1906;PL
1963;Karl;Ziegler;chemistry;male;1898-11-26;DE
1963;Giulio;Natta;chemistry;male;26-02-1903;IT
1964;Nicolay G.;Basov;physics;male;14-12-1922;RU
1964;Jean-Paul;Sartre;literature;male;21-06-1905;FR
1964;Martin Luther;King Jr.;peace;male;15-01-1929;US
1964;Aleksandr M.;Prokhorov;physics;male;11-07-1916;AU
1964;Feodor;Lynen;medicine;male;06-04-1911;DE
1964;Charles H.;Townes;physics;male;28-07-1915;US
1964;Konrad;Bloch;medicine;male;21-01-1912;PL
1964;Dorothy Crowfoot;Hodgkin;chemistry;female;12-05-1910;EG
1965;Robert B.;Woodward;chemistry;male;10-04-1917;US
1965;François;Jacob;medicine;male;17-06-1920;FR
1965;André;Lwoff;medicine;male;08-05-1902;FR
1965;Jacques;Monod;medicine;male;09-02-1910;FR
1965;United Nations Children's Fund;;peace;org;1946-00-00;
1965;Sin-Itiro;Tomonaga;physics;male;31-03-1906;JP
1965;Mikhail;Sholokhov;literature;male;24-05-1905;RU
1965;Julian;Schwinger;physics;male;12-02-1918;US
1965;Richard P.;Feynman;physics;male;11-05-1918;US
1966;Charles B.;Huggins;medicine;male;22-09-1901;CA
1966;Shmuel;Agnon;literature;male;1888-07-17;UA
1966;Robert S.;Mulliken;chemistry;male;1896-06-07;US
1966;Peyton;Rous;medicine;male;1879-10-05;US
1966;Nelly;Sachs;literature;female;1891-12-10;DE
1966;Alfred;Kastler;physics;male;03-05-1902;FR
1967;Ragnar;Granit;medicine;male;30-10-1900;FI
1967;George;Wald;medicine;male;18-11-1906;US
1967;George;Porter;chemistry;male;06-12-1920;GB
1967;Miguel Angel;Asturias;literature;male;1899-10-19;GT
1967;Ronald G.W.;Norrish;chemistry;male;1897-11-09;GB
1967;Manfred;Eigen;chemistry;male;09-05-1927;DE
1967;Keffer;Hartline;medicine;male;22-12-1903;US
1967;Hans;Bethe;physics;male;02-07-1906;FR
1968;H. Gobind;Khorana;medicine;male;09-01-1922;IN
1968;Marshall W.;Nirenberg;medicine;male;10-04-1927;US
1968;Lars;Onsager;chemistry;male;27-11-1903;NO
1968;René;Cassin;peace;male;1887-10-05;FR
1968;Robert W.;Holley;medicine;male;28-01-1922;US
1968;Luis;Alvarez;physics;male;13-06-1911;US
1968;Yasunari;Kawabata;literature;male;1899-06-11;JP
1969;Derek;Barton;chemistry;male;08-09-1918;GB
1969;Samuel;Beckett;literature;male;13-04-1906;IE
1969;Ragnar;Frisch;economics;male;1895-03-03;NO
1969;Murray;Gell-Mann;physics;male;15-09-1929;US
1969;Jan;Tinbergen;economics;male;12-04-1903;NL
1969;International Labour Organization;;peace;org;1919-00-00;
1969;Salvador E.;Luria;medicine;male;13-08-1912;IT
1969;Alfred D.;Hershey;medicine;male;04-12-1908;US
1969;Max;Delbrück;medicine;male;04-09-1906;DE
1969;Odd;Hassel;chemistry;male;1897-05-17;NO
1970;Hannes;Alfvén;physics;male;30-05-1908;SE
1970;Louis;Néel;physics;male;22-11-1904;FR
1970;Norman;Borlaug;peace;male;25-03-1914;US
1970;Luis;Leloir;chemistry;male;06-09-1906;FR
1970;Alexandr;Solzhenitsyn;literature;male;11-12-1918;RU
1970;Paul A.;Samuelson;economics;male;15-05-1915;US
1970;Julius;Axelrod;medicine;male;30-05-1912;US
1970;Ulf;von Euler;medicine;male;07-02-1905;SE
1970;Sir Bernard;Katz;medicine;male;26-03-1911;DE
1971;Willy;Brandt;peace;male;18-12-1913;DE
1971;Dennis;Gabor;physics;male;05-06-1900;HU
1971;Simon;Kuznets;economics;male;30-04-1901;BY
1971;Gerhard;Herzberg;chemistry;male;25-12-1904;DE
1971;Earl W.;Sutherland Jr.;medicine;male;19-11-1915;US
1971;Pablo;Neruda;literature;male;12-07-1904;CL
1972;Heinrich;Böll;literature;male;21-12-1917;DE
1972;Gerald M.;Edelman;medicine;male;01-07-1929;US
1972;Leon N.;Cooper;physics;male;28-02-1930;US
1972;Stanford;Moore;chemistry;male;04-09-1913;US
1972;Christian;Anfinsen;chemistry;male;26-03-1916;US
1972;William H.;Stein;chemistry;male;25-06-1911;US
1972;John;Bardeen;physics;male;23-05-1908;US
1972;Kenneth J.;Arrow;economics;male;23-08-1921;US
1972;John R.;Hicks;economics;male;08-04-1904;GB
1972;Robert;Schrieffer;physics;male;31-05-1931;US
1972;Rodney R.;Porter;medicine;male;08-10-1917;GB
1973;Brian D.;Josephson;physics;male;04-01-1940;GB
1973;Ernst Otto;Fischer;chemistry;male;10-11-1918;DE
1973;Geoffrey;Wilkinson;chemistry;male;14-07-1921;GB
1973;Le Duc Tho;;peace;male;14-10-1911;VN
1973;Wassily;Leontief;economics;male;05-08-1906;RU
1973;Konrad;Lorenz;medicine;male;07-11-1903;AT
1973;Leo;Esaki;physics;male;12-03-1925;JP
1973;Ivar;Giaever;physics;male;05-04-1929;NO
1973;Karl;von Frisch;medicine;male;1886-11-20;AT
1973;Patrick;White;literature;male;28-05-1912;GB
1973;Henry;Kissinger;peace;male;27-05-1923;DE
1973;Nikolaas;Tinbergen;medicine;male;15-04-1907;NL
1974;Paul J.;Flory;chemistry;male;19-06-1910;US
1974;Eyvind;Johnson;literature;male;29-07-1900;SE
1974;Gunnar;Myrdal;economics;male;1898-12-06;SE
1974;Harry;Martinson;literature;male;06-05-1904;SE
1974;Christian;de Duve;medicine;male;02-10-1917;GB
1974;Antony;Hewish;physics;male;11-05-1924;GB
1974;Martin;Ryle;physics;male;27-09-1918;GB
1974;George E.;Palade;medicine;male;19-11-1912;RO
1974;Eisaku;Sato;peace;male;27-03-1901;JP
1974;Seán;MacBride;peace;male;26-01-1904;FR
1974;Friedrich;von Hayek;economics;male;1899-05-08;AT
1974;Albert;Claude;medicine;male;1898-08-24;BE
1975;John;Cornforth;chemistry;male;07-09-1917;AU
1975;Vladimir;Prelog;chemistry;male;23-07-1906;BA
1975;Howard M.;Temin;medicine;male;10-12-1934;US
1975;Aage N.;Bohr;physics;male;19-06-1922;DK
1975;Ben R.;Mottelson;physics;male;09-07-1926;US
1975;James;Rainwater;physics;male;09-12-1917;US
1975;Tjalling C.;Koopmans;economics;male;28-08-1910;NL
1975;Leonid Vitaliyevich;Kantorovich;economics;male;19-01-1912;RU
1975;Eugenio;Montale;literature;male;1896-10-12;IT
1975;David;Baltimore;medicine;male;07-03-1938;US
1975;Renato;Dulbecco;medicine;male;22-02-1914;IT
1975;Andrei;Sakharov;peace;male;21-05-1921;RU
1976;Milton;Friedman;economics;male;31-07-1912;US
1976;William;Lipscomb;chemistry;male;09-12-1919;US
1976;Mairead;Corrigan;peace;female;27-01-1944;GB
1976;Burton;Richter;physics;male;22-03-1931;US
1976;Samuel C.C.;Ting;physics;male;27-01-1936;US
1976;Baruch S.;Blumberg;medicine;male;28-07-1925;US
1976;D. Carleton;Gajdusek;medicine;male;09-09-1923;US
1976;Betty;Williams;peace;female;22-05-1943;GB
1976;Saul;Bellow;literature;male;10-06-1915;CA
1977;Philip W.;Anderson;physics;male;13-12-1923;US
1977;James E.;Meade;economics;male;23-06-1907;GB
1977;Bertil;Ohlin;economics;male;1899-04-23;SE
1977;Sir Nevill F.;Mott;physics;male;30-09-1905;GB
1977;John H.;Van Vleck;physics;male;1899-03-13;US
1977;Andrew V.;Schally;medicine;male;30-11-1926;LT
1977;Rosalyn;Yalow;medicine;female;19-07-1921;US
